_topic_,_term_,_role_,_weight_
trust,abacus,,0.5
fear,abandon,,0.5
negative,abandon,,0.5
sadness,abandon,,0.5
anger,abandoned,,0.5
fear,abandoned,,0.5
negative,abandoned,,0.5
sadness,abandoned,,0.5
anger,abandonment,,0.5
fear,abandonment,,0.5
negative,abandonment,,0.5
sadness,abandonment,,0.5
surprise,abandonment,,0.5
positive,abba,,0.5
trust,abbot,,0.5
fear,abduction,,0.5
negative,abduction,,0.5
sadness,abduction,,0.5
surprise,abduction,,0.5
negative,aberrant,,0.5
disgust,aberration,,0.5
negative,aberration,,0.5
anger,abhor,,0.5
disgust,abhor,,0.5
fear,abhor,,0.5
negative,abhor,,0.5
anger,abhorrent,,0.5
disgust,abhorrent,,0.5
fear,abhorrent,,0.5
negative,abhorrent,,0.5
positive,ability,,0.5
disgust,abject,,0.5
negative,abject,,0.5
disgust,abnormal,,0.5
negative,abnormal,,0.5
anger,abolish,,0.5
negative,abolish,,0.5
negative,abolition,,0.5
disgust,abominable,,0.5
fear,abominable,,0.5
negative,abominable,,0.5
anger,abomination,,0.5
disgust,abomination,,0.5
fear,abomination,,0.5
negative,abomination,,0.5
negative,abort,,0.5
disgust,abortion,,0.5
fear,abortion,,0.5
negative,abortion,,0.5
sadness,abortion,,0.5
negative,abortive,,0.5
sadness,abortive,,0.5
positive,abovementioned,,0.5
negative,abrasion,,0.5
negative,abrogate,,0.5
surprise,abrupt,,0.5
negative,abscess,,0.5
sadness,abscess,,0.5
fear,absence,,0.5
negative,absence,,0.5
sadness,absence,,0.5
negative,absent,,0.5
sadness,absent,,0.5
negative,absentee,,0.5
sadness,absentee,,0.5
negative,absenteeism,,0.5
positive,absolute,,0.5
joy,absolution,,0.5
positive,absolution,,0.5
trust,absolution,,0.5
positive,absorbed,,0.5
negative,absurd,,0.5
negative,absurdity,,0.5
anticipation,abundance,,0.5
disgust,abundance,,0.5
joy,abundance,,0.5
negative,abundance,,0.5
positive,abundance,,0.5
